Iteration,Mean,Stdev,Run-0
0,2.558295967814197E-5,0.0,2.558295967814197E-5
1,2.558295967814197E-5,0.0,2.558295967814197E-5
2,2.558295967814197E-5,0.0,2.558295967814197E-5
3,2.558295967814197E-5,0.0,2.558295967814197E-5
4,2.558295967814197E-5,0.0,2.558295967814197E-5
5,2.558295967814197E-5,0.0,2.558295967814197E-5
6,2.558295967814197E-5,0.0,2.558295967814197E-5
7,2.558295967814197E-5,0.0,2.558295967814197E-5
8,2.558295967814197E-5,0.0,2.558295967814197E-5
9,2.558295967814197E-5,0.0,2.558295967814197E-5
