Iteration,Mean,Stdev,Run-0
0,1.2805587711493206E-6,0.0,1.2805587711493206E-6
1,1.2805587711493206E-6,0.0,1.2805587711493206E-6
2,1.2805587711493206E-6,0.0,1.2805587711493206E-6
3,1.2805587711493206E-6,0.0,1.2805587711493206E-6
4,1.2805587711493206E-6,0.0,1.2805587711493206E-6
5,1.2805587711493206E-6,0.0,1.2805587711493206E-6
6,1.2805587711493206E-6,0.0,1.2805587711493206E-6
7,1.2805587711493206E-6,0.0,1.2805587711493206E-6
8,1.2805587711493206E-6,0.0,1.2805587711493206E-6
9,1.2805587711493206E-6,0.0,1.2805587711493206E-6
