Iteration,Mean,Stdev,Run-0
0,1.7849941899960238E-6,0.0,1.7849941899960238E-6
1,1.7849941899960238E-6,0.0,1.7849941899960238E-6
2,1.7849941899960238E-6,0.0,1.7849941899960238E-6
3,1.7849941899960238E-6,0.0,1.7849941899960238E-6
4,1.7849941899960238E-6,0.0,1.7849941899960238E-6
5,1.7849941899960238E-6,0.0,1.7849941899960238E-6
6,1.7849941899960238E-6,0.0,1.7849941899960238E-6
7,1.7849941899960238E-6,0.0,1.7849941899960238E-6
8,1.7849941899960238E-6,0.0,1.7849941899960238E-6
9,1.7849941899960238E-6,0.0,1.7849941899960238E-6
