Iteration,Mean,Stdev,Run-0
0,3.5641467985724364E-5,0.0,3.5641467985724364E-5
1,3.5641467985724364E-5,0.0,3.5641467985724364E-5
2,3.5641467985724364E-5,0.0,3.5641467985724364E-5
3,3.5641467985724364E-5,0.0,3.5641467985724364E-5
4,3.5641467985724364E-5,0.0,3.5641467985724364E-5
5,3.5641467985724364E-5,0.0,3.5641467985724364E-5
6,3.5641467985724364E-5,0.0,3.5641467985724364E-5
7,3.5641467985724364E-5,0.0,3.5641467985724364E-5
8,3.5641467985724364E-5,0.0,3.5641467985724364E-5
9,3.5641467985724364E-5,0.0,3.5641467985724364E-5
