Iteration,Mean,Stdev,Run-0
0,1.485039202338995E-9,0.0,1.485039202338995E-9
1,1.485039202338995E-9,0.0,1.485039202338995E-9
2,1.485039202338995E-9,0.0,1.485039202338995E-9
3,1.485039202338995E-9,0.0,1.485039202338995E-9
4,1.485039202338995E-9,0.0,1.485039202338995E-9
5,1.485039202338995E-9,0.0,1.485039202338995E-9
6,1.485039202338995E-9,0.0,1.485039202338995E-9
7,1.485039202338995E-9,0.0,1.485039202338995E-9
8,1.485039202338995E-9,0.0,1.485039202338995E-9
9,1.485039202338995E-9,0.0,1.485039202338995E-9
